test_size,random_state,data_size,scaling,filename,model,test_score,train_score,tn,fp,fn,tp,f1_score,precision,recall,class_weight
0.05,0,"(65188, 4)",no_scaling,clinvar_conflicting.csv,sklearn.LogisticRegression,0.7429447852760737,0.7481591525642682,2422,0,838,0,0.0,0.0,0.0,
0.05,0,"(65188, 44)",no_scaling,data_cleaned1.csv,sklearn.LogisticRegression,0.7429447852760737,0.7481591525642682,2422,0,838,0,0.0,0.0,0.0,
0.05,0,"(65188, 44)",no_scaling,data_cleaned1.csv,sklearn.LogisticRegression,0.2570552147239264,0.2518408474357318,0,2422,0,838,0.40897999023914106,0.2570552147239264,1.0,balanced
0.05,0,"(65188, 4)",min_max,clinvar_conflicting.csv,sklearn.LogisticRegression,0.7429447852760737,0.7481591525642682,2422,0,838,0,0.0,0.0,0.0,
0.05,0,"(65188, 4)",min_max,clinvar_conflicting.csv,sklearn.LogisticRegression,0.39539877300613496,0.3934569177108901,512,1910,61,777,0.44085106382978717,0.2891700781540752,0.9272076372315036,balanced
0.05,0,"(65188, 44)",min_max,data_cleaned1.csv,sklearn.LogisticRegression,0.49846625766871167,0.5057809068595789,1025,1397,238,600,0.42328042328042326,0.30045067601402103,0.7159904534606205,balanced
0.05,0,"(65188, 47)",no_scaling,data_cleaned3.csv,sklearn.LogisticRegression,0.7429447852760737,0.7481591525642682,2422,0,838,0,0.0,0.0,0.0,
0.05,0,"(65188, 47)",no_scaling,data_cleaned3.csv,sklearn.LogisticRegression,0.5444785276073619,0.5320210567110193,1344,1078,407,431,0.3672773753728163,0.28561961563949634,0.5143198090692124,balanced
0.05,0,"(65188, 47)",min_max,data_cleaned3.csv,sklearn.LogisticRegression,0.5202453987730061,0.525529647332386,1103,1319,245,593,0.43127272727272725,0.3101464435146444,0.7076372315035799,balanced
0.05,0,"(65188, 55)",min_max,data_cleanednlp2.csv,sklearn.LogisticRegression,0.5150306748466258,0.5227845239633122,1092,1330,251,587,0.42613430127041746,0.306207616066771,0.7004773269689738,balanced
0.05,0,"(65188, 55)",no_scaling,data_cleanednlp2.csv,sklearn.LogisticRegression,0.5444785276073619,0.5320210567110193,1344,1078,407,431,0.3672773753728163,0.28561961563949634,0.5143198090692124,balanced
0.05,0,"(65188, 55)",no_scaling,data_cleanednlp2.csv,sklearn.LogisticRegression,0.7429447852760737,0.7481591525642682,2422,0,838,0,0.0,0.0,0.0,
