test_size,random_state,data_size,scaling,test_score,train_score,confusion_matrix,tn,fp,fn,tp
0.1,0,"(97508, 32)",no_scaling,0.5123577069018562,0.4986268901626082,"[[   0 4755]
 [   0 4996]]",,,,
0.05,0,"(97508, 32)",min_max,0.5851107465135357,0.5727610329043958,"[[ 929 1461]
 [ 562 1924]]",,,,
0.1,0,"(97508, 32)",,0.5123577069018562,0.4986268901626082,"[[   0 4755]
 [   0 4996]]",,,,
0.05,0,"(97508, 32)",,0.5851107465135357,0.5727610329043958,"[[ 929 1461]
 [ 562 1924]]",,,,
0.01,0,"(65188, 32)",,0.74079754601227,0.7479701252014379,"[[483   0]
 [169   0]]",,,,
0.05,0,"(65188, 32)",,0.7429447852760737,0.7481591525642682,"[[2422    0]
 [ 838    0]]",,,,
0.1,0,"(65188, 32)",,0.7450529222273354,0.7482145596481958,"[[4857    0]
 [1662    0]]",,,,
0.05,0,"(65188, 32)",,0.7432515337423313,0.748239891486888,"[[2422    0]
 [ 837    1]]",,,,
0.1,0,"(97508, 44)",no_scaling,0.5123577069018562,0.49862689016260814,,0.0,4755.0,0.0,4996.0
0.05,0,"(97508, 44)",min_max,0.5756767842493847,0.5796161153812938,,1024.0,1366.0,703.0,1783.0
0.05,0,"(97508, 49)",min_max,0.5937243642329778,0.5839990500043182,,1017.0,1373.0,608.0,1878.0
