test_size,random_state,data_size,scaling,test_score,train_score,tn,fp,fn,tp
0.01,0,"(65188, 4)",no_scaling,0.74079754601227,0.7479701252014379,483,0,169,0
0.1,0,"(65188, 4)",no_scaling,0.7450529222273354,0.7482145596481958,4857,0,1662,0
0.05,0,"(65188, 4)",no_scaling,0.7429447852760737,0.7481591525642682,2422,0,838,0
0.05,0,"(65188, 4)",no_scaling,0.7429447852760737,0.7481591525642682,2422,0,838,0
0.1,0,"(65188, 4)",no_scaling,0.7450529222273354,0.7482145596481958,4857,0,1662,0
0.05,0,"(97508, 4)",min_max,0.5828547990155866,0.5725343293894118,510,1880,154,2332
0.05,0,"(97508, 44)",min_max,0.5840853158326497,0.5847547283875982,1036,1354,674,1812
0.05,0,"(65188, 44)",min_max,0.7432515337423313,0.748239891486888,2422,0,837,1
0.05,0,"(97508, 44)",no_scaling,0.5098441345365053,0.4994818205371794,0,2390,0,2486
0.05,0,"(97508, 56)",min_max,0.5892124692370796,0.5912751532947578,1132,1258,745,1741
0.05,0,"(97508, 47)",min_max,0.5873666940114848,0.5911887900509543,1121,1269,743,1743
