yourlist:M201912106746803381A1F0E0DB47453E0216320D314B872,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
AGRN,A0A087X208,A0A087X208_HUMAN,unreviewed,Agrin,AGRN,Homo sapiens (Human),1930
AGRN,A0A494C0G5,A0A494C0G5_HUMAN,unreviewed,Agrin,AGRN,Homo sapiens (Human),1940
AGRN,A0A494C1I6,A0A494C1I6_HUMAN,unreviewed,Agrin,AGRN,Homo sapiens (Human),1963
AGRN,O00468,AGRIN_HUMAN,reviewed,Agrin [Cleaved into: Agrin N-terminal 110 kDa subunit; Agrin C-terminal 110 kDa subunit; Agrin C-terminal 90 kDa fragment (C90); Agrin C-terminal 22 kDa fragment (C22)],AGRN AGRIN,Homo sapiens (Human),2068
AGRN,Q15952,Q15952_HUMAN,unreviewed,Agrin (Fragment),AGRN,Homo sapiens (Human),62
AGRN,Q5XG79,Q5XG79_HUMAN,unreviewed,AGRN protein (Fragment),AGRN,Homo sapiens (Human),719
AGRN,Q96QF8,Q96QF8_HUMAN,unreviewed,Agrin (Fragment),AGRN,Homo sapiens (Human),11
AGRN,Q96QF9,Q96QF9_HUMAN,unreviewed,Agrin (Fragment),AGRN,Homo sapiens (Human),8
B3GALT6,Q499Z2,Q499Z2_HUMAN,unreviewed,Hexosyltransferase (EC 2.4.1.-) (Fragment),B3GALT6,Homo sapiens (Human),304
B3GALT6,Q96L58,B3GT6_HUMAN,reviewed,"Beta-1,3-galactosyltransferase 6 (Beta-1,3-GalTase 6) (Beta3Gal-T6) (Beta3GalT6) (EC 2.4.1.134) (GAG GalTII) (Galactosyltransferase II) (Galactosylxylosylprotein 3-beta-galactosyltransferase) (UDP-Gal:betaGal beta 1,3-galactosyltransferase polypeptide 6)",B3GALT6,Homo sapiens (Human),329
ATAD3A,H0Y2W2,H0Y2W2_HUMAN,unreviewed,ATPase family AAA domain-containing protein 3A (Fragment),ATAD3A,Homo sapiens (Human),572
ATAD3A,Q5SV16,Q5SV16_HUMAN,unreviewed,ATPase family AAA domain-containing protein 3A (Fragment),ATAD3A,Homo sapiens (Human),201
ATAD3A,Q9NVI7,ATD3A_HUMAN,reviewed,ATPase family AAA domain-containing protein 3A,ATAD3A,Homo sapiens (Human),634
TMEM240,A0A096LNN7,A0A096LNN7_HUMAN,unreviewed,Transmembrane protein 240,TMEM240,Homo sapiens (Human),55
TMEM240,Q5SV17,TM240_HUMAN,reviewed,Transmembrane protein 240,TMEM240 C1orf70,Homo sapiens (Human),173
GNB1,A0A024R056,A0A024R056_HUMAN,unreviewed,"Guanine nucleotide binding protein (G protein), beta polypeptide 1, isoform CRA_a (Testicular tissue protein Li 72)",GNB1 hCG_23470,Homo sapiens (Human),340
GNB1,A0A2L0WW42,A0A2L0WW42_HUMAN,unreviewed,G protein subunit beta 1,GNB1,Homo sapiens (Human),340
GNB1,B1AKQ8,B1AKQ8_HUMAN,unreviewed,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Fragment),GNB1,Homo sapiens (Human),107
GNB1,B3KVK2,B3KVK2_HUMAN,unreviewed,"Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (cDNA FLJ16663 fis, clone THYMU2005759, highly similar to Guanine nucleotide-binding proteinG(I)/G(S)/G(T) subunit beta 1)",GNB1,Homo sapiens (Human),240
GNB1,F6UT28,F6UT28_HUMAN,unreviewed,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Fragment),GNB1,Homo sapiens (Human),165
GNB1,F6X3N5,F6X3N5_HUMAN,unreviewed,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Fragment),GNB1,Homo sapiens (Human),163
GNB1,L8E8V9,L8E8V9_HUMAN,unreviewed,Alternative protein GNB1,GNB1,Homo sapiens (Human),65
GNB1,P62873,GBB1_HUMAN,reviewed,Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1),GNB1,Homo sapiens (Human),340
GABRD,A0A1W2PP88,A0A1W2PP88_HUMAN,unreviewed,Gamma-aminobutyric acid receptor subunit delta (Fragment),GABRD,Homo sapiens (Human),320
GABRD,A0A1W2PPH3,A0A1W2PPH3_HUMAN,unreviewed,Gamma-aminobutyric acid receptor subunit delta (Fragment),GABRD,Homo sapiens (Human),380
GABRD,A0A1W2PPP1,A0A1W2PPP1_HUMAN,unreviewed,Gamma-aminobutyric acid receptor subunit delta (Fragment),GABRD,Homo sapiens (Human),395
GABRD,A0A1W2PQR3,A0A1W2PQR3_HUMAN,unreviewed,Gamma-aminobutyric acid receptor subunit delta,GABRD,Homo sapiens (Human),480
GABRD,A0A1W2PQT2,A0A1W2PQT2_HUMAN,unreviewed,Gamma-aminobutyric acid receptor subunit delta (Fragment),GABRD,Homo sapiens (Human),168
GABRD,A0A1W2PQZ5,A0A1W2PQZ5_HUMAN,unreviewed,Gamma-aminobutyric acid receptor subunit delta,GABRD,Homo sapiens (Human),35
GABRD,A0A1W2PR72,A0A1W2PR72_HUMAN,unreviewed,Gamma-aminobutyric acid receptor subunit delta (Fragment),GABRD,Homo sapiens (Human),168
GABRD,A0A1W2PRC4,A0A1W2PRC4_HUMAN,unreviewed,Gamma-aminobutyric acid receptor subunit delta,GABRD,Homo sapiens (Human),500
GABRD,A0A1W2PRY7,A0A1W2PRY7_HUMAN,unreviewed,Gamma-aminobutyric acid receptor subunit delta,GABRD,Homo sapiens (Human),429
GABRD,O14764,GBRD_HUMAN,reviewed,Gamma-aminobutyric acid receptor subunit delta (GABA(A) receptor subunit delta),GABRD,Homo sapiens (Human),452
SKI,P12755,SKI_HUMAN,reviewed,Ski oncogene (Proto-oncogene c-Ski),SKI,Homo sapiens (Human),728
SKI,Q7Z459,Q7Z459_HUMAN,unreviewed,Ski oncoprotein (Fragment),SKI,Homo sapiens (Human),139
SKI,Q7Z461,Q7Z461_HUMAN,unreviewed,Ski oncoprotein (Fragment),SKI,Homo sapiens (Human),168
SKI,Q7Z462,Q7Z462_HUMAN,unreviewed,Ski oncoprotein (Fragment),SKI,Homo sapiens (Human),180
PEX10,A0A024R068,A0A024R068_HUMAN,unreviewed,"Peroxisome biogenesis factor 10, isoform CRA_a",PEX10 hCG_1770744,Homo sapiens (Human),326
PEX10,A0A024R0A4,A0A024R0A4_HUMAN,unreviewed,"Peroxisome biogenesis factor 10, isoform CRA_b",PEX10 hCG_1770744,Homo sapiens (Human),346
PEX10,A0A3B3ITN6,A0A3B3ITN6_HUMAN,unreviewed,Peroxisome biogenesis factor 10 (Fragment),PEX10,Homo sapiens (Human),311
PEX10,D6RA89,D6RA89_HUMAN,unreviewed,Peroxisome biogenesis factor 10,PEX10,Homo sapiens (Human),209
PEX10,D6RBB0,D6RBB0_HUMAN,unreviewed,Peroxisome biogenesis factor 10,PEX10,Homo sapiens (Human),324
PEX10,D6RIF5,D6RIF5_HUMAN,unreviewed,Peroxisome biogenesis factor 10,PEX10,Homo sapiens (Human),73
PEX10,J3KRE0,J3KRE0_HUMAN,unreviewed,Peroxisome biogenesis factor 10 (Fragment),PEX10,Homo sapiens (Human),25
PEX10,J3QRM4,J3QRM4_HUMAN,unreviewed,Peroxisome biogenesis factor 10 (Fragment),PEX10,Homo sapiens (Human),30
PEX10,O60683,PEX10_HUMAN,reviewed,Peroxisome biogenesis factor 10 (Peroxin-10) (Peroxisomal biogenesis factor 10) (Peroxisome assembly protein 10) (RING finger protein 69),PEX10 RNF69,Homo sapiens (Human),326
PEX10,Q6FGN0,Q6FGN0_HUMAN,unreviewed,PEX10 protein,PEX10,Homo sapiens (Human),326
PRDM16,D6RDW0,D6RDW0_HUMAN,unreviewed,Histone-lysine N-methyltransferase PRDM16,PRDM16,Homo sapiens (Human),1178
PRDM16,D6RFY3,D6RFY3_HUMAN,unreviewed,Histone-lysine N-methyltransferase PRDM16,PRDM16,Homo sapiens (Human),1177
PRDM16,H0YA13,H0YA13_HUMAN,unreviewed,Histone-lysine N-methyltransferase PRDM16 (Fragment),PRDM16,Homo sapiens (Human),1084
PRDM16,L8E8P9,L8E8P9_HUMAN,unreviewed,Alternative protein PRDM16,PRDM16,Homo sapiens (Human),110
PRDM16,Q9HAZ2,PRD16_HUMAN,reviewed,Histone-lysine N-methyltransferase PRDM16 (EC 2.1.1.43) (PR domain zinc finger protein 16) (PR domain-containing protein 16) (Transcription factor MEL1) (MDS1/EVI1-like gene 1),PRDM16 KIAA1675 MEL1 PFM13,Homo sapiens (Human),1276
PRDM16,U3KQL6,U3KQL6_HUMAN,unreviewed,Histone-lysine N-methyltransferase PRDM16 (Fragment),PRDM16,Homo sapiens (Human),53
NPHP4,D6RA06,D6RA06_HUMAN,unreviewed,Nephrocystin-4,NPHP4,Homo sapiens (Human),262
NPHP4,H0YA08,H0YA08_HUMAN,unreviewed,Nephrocystin-4 (Fragment),NPHP4,Homo sapiens (Human),138
